score,time_seconds,collisions_seconds,seed
//-20 sitefidelity - only SF congestion
collisions_seconds: 1998.12

//-25 sitefidelity - only SF congestion
//35/65 SF-RS
54,1200,2584.23,670075
57,1200,2294.84,824103
52,1200,2635.73,489706
77,1200,1647.56,181996
72,1200,1550.41,717832
77,1151.5,1347.58,320164
71,1200,1586.78,603099
56,1200,2556.08,183241
68,1200,1692.97,987308
50,1200,2439.08,618823
54,1200,2550.23,407364
49,1200,2561.56,212543
77,1200,1502.72,32408
79,1056.5,1443.08,658681
77,1200,1520.58,409385
75,1200,1322.86,187751
75,1200,1455.81,939312
65,1200,1852.28,631485
49,1200,2371.97,423316
61,1200,1889.45,329935
46,1200,2524.33,169750
77,1200,868.609,258883
41,1200,2515.78,999943
54,1200,2494.52,67690
72,1200,1611.22,32015
37,1200,3117.19,950458
74,1200,1049.55,195654
56,1200,2016.44,20875
69,1200,1866.3,972877
54,1200,2305.09,759451

---Averages
score 62.50
collisions_seconds: 1193.60
71,1200,1695.53,227123


A:with SF only RS
B:without SF only RS
C:after adjusting parameters

B vs A
Score: +52.6%
Collisions: −43.7%
C vs B
Score: +172.6%
Collisions: −44.5%
C vs A
Score: +315.7%
Collisions: −68.7%


//after prob equation with -25 sf delay
62,1200,2380.52,318318
77,1200,1212.38,568185
78,1200,967.234,610193
52,1200,2380.56,599969
66,1200,2204,923767
78,1200,1370.58,154025
43,1200,2658.86,237568
79,1200,1074.98,709192
44,1200,2647.08,902691
49,1200,2927.38,268412
59,1200,1923.91,733960
55,1200,2379.92,188742
48,1200,2577.09,577248
62,1200,2110.73,65524
72,1200,1679.11,529332
52,1200,2402.34,863438
78,1080.5,1108.53,382226
67,1200,2004.52,973117
60,1200,2092.45,497000
52,1200,2315.78,83506
71,1200,1715.84,540597
79,1200,918.312,955874
73,1200,1759.45,402020
61,1200,1915.39,867845
44,1200,3007.08,451089
65,1200,1943.88,36355
59,1200,2309.09,610901
51,1200,2570.56,228552
70,1200,1414.08,880198
78,1200,1119.94,384317

average:
score: 63.53
collisions_seconds: 2013.23

//prob function but not delay sf(-25)
63,1200,2155.92,996803
56,1200,2043.62,651802
74,1200,1144.03,950933
75,1200,1732.84,52679
77,1200,1091.33,508165
50,1200,2579,752922
64,1200,2021.41,170543
53,1200,2195.72,580718
36,1200,2843.66,68857
77,1200,1579.39,618305
79,1200,1550.33,970588
78,1200,1346.08,244746
66,1200,2046.83,652485
58,1200,1936,192911
36,1200,3444.98,617629
77,1200,1217.86,334503
73,1200,1254.84,707409
